NUMBER OF OBSERVATIONS									
18475									
DAY	MONTH 	YEAR	RAIN	PET	GWL	ABS			
01	01	1970	0.278	0.315616092	41	0	-9999		
02	01	1970	0.154	0.315616092	-9999	0	-9999		
03	01	1970	0	0.315616092	-9999	0	-9999		
04	01	1970	0	0.315616092	-9999	0	-9999		
05	01	1970	0.613	0.315616092	-9999	0	-9999		
06	01	1970	0.107	0.315616092	-9999	0	-9999		
07	01	1970	0.002	0.315616092	-9999	0	-9999		
08	01	1970	8.6	0.315616092	-9999	0	-9999		
09	01	1970	2.691	0.315616092	-9999	0	-9999		
10	01	1970	8.767	0.315616092	-9999	0	-9999		
11	01	1970	3.43	0.315616092	-9999	0	-9999		
12	01	1970	0.976	0.315616092	-9999	0	-9999		
13	01	1970	1.556	0.315616092	-9999	0	-9999		
14	01	1970	4.18	0.315616092	-9999	0	-9999		
15	01	1970	0.262	0.315616092	-9999	0	-9999		
16	01	1970	0.163	0.315616092	-9999	0	-9999		
17	01	1970	1.516	0.315616092	-9999	0	-9999		
18	01	1970	3.91	0.315616092	-9999	0	-9999		
19	01	1970	2.07	0.315616092	-9999	0	-9999		
20	01	1970	0.903	0.315616092	-9999	0	-9999		
21	01	1970	3.963	0.315616092	-9999	0	-9999		
22	01	1970	1.663	0.315616092	-9999	0	-9999		
23	01	1970	2.808	0.315616092	-9999	0	-9999		
24	01	1970	6.477	0.315616092	-9999	0	-9999		
25	01	1970	0.658	0.315616092	-9999	0	-9999		
26	01	1970	0.096	0.315616092	-9999	0	-9999		
27	01	1970	0.036	0.315616092	-9999	0	-9999		
28	01	1970	0.508	0.315616092	-9999	0	-9999		
29	01	1970	1.924	0.315616092	-9999	0	-9999		
30	01	1970	0.001	0.315616092	-9999	0	-9999		
31	01	1970	1.46	0.315616092	-9999	0	-9999		
01	02	1970	5.973	0.716711543	-9999	0	-9999		
02	02	1970	0.194	0.716711543	-9999	0	-9999		
03	02	1970	0.574	0.716711543	-9999	0	-9999		
04	02	1970	6.116	0.716711543	-9999	0	-9999		
05	02	1970	0.087	0.716711543	-9999	0	-9999		
06	02	1970	1.497	0.716711543	-9999	0	-9999		
07	02	1970	1.327	0.716711543	-9999	0	-9999		
08	02	1970	0.005	0.716711543	-9999	0	-9999		
09	02	1970	2.775	0.716711543	-9999	0	-9999		
10	02	1970	0.001	0.716711543	-9999	0	-9999		
11	02	1970	0.004	0.716711543	-9999	0	-9999		
12	02	1970	2.777	0.716711543	-9999	0	-9999		
13	02	1970	0.2	0.716711543	-9999	0	-9999		
14	02	1970	0.004	0.716711543	-9999	0	-9999		
15	02	1970	0.004	0.716711543	-9999	0	-9999		
16	02	1970	3.054	0.716711543	-9999	0	-9999		
17	02	1970	2.444	0.716711543	-9999	0	-9999		
18	02	1970	3.223	0.716711543	-9999	0	-9999		
19	02	1970	3.219	0.716711543	-9999	0	-9999		
20	02	1970	3.398	0.716711543	-9999	0	-9999		
21	02	1970	1.955	0.716711543	-9999	0	-9999		
22	02	1970	1.704	0.716711543	-9999	0	-9999		
23	02	1970	0.009	0.716711543	-9999	0	-9999		
24	02	1970	0.091	0.716711543	-9999	0	-9999		
25	02	1970	1.668	0.716711543	-9999	0	-9999		
26	02	1970	1.579	0.716711543	-9999	0	-9999		
27	02	1970	0.06	0.716711543	-9999	0	-9999		
28	02	1970	0.001	0.716711543	-9999	0	-9999		
01	03	1970	0.276	1.055341309	-9999	0	-9999		
02	03	1970	0.1	1.055341309	-9999	0	-9999		
03	03	1970	2.658	1.055341309	-9999	0	-9999		
04	03	1970	1.335	1.055341309	-9999	0	-9999		
05	03	1970	0.036	1.055341309	-9999	0	-9999		
06	03	1970	4.295	1.055341309	-9999	0	-9999		
07	03	1970	4.478	1.055341309	-9999	0	-9999		
08	03	1970	0.021	1.055341309	-9999	0	-9999		
09	03	1970	3.18	1.055341309	-9999	0	-9999		
10	03	1970	2.317	1.055341309	-9999	0	-9999		
11	03	1970	5.602	1.055341309	-9999	0	-9999		
12	03	1970	7.118	1.055341309	-9999	0	-9999		
13	03	1970	0.175	1.055341309	-9999	0	-9999		
14	03	1970	0.087	1.055341309	-9999	0	-9999		
15	03	1970	0.001	1.055341309	-9999	0	-9999		
16	03	1970	0.002	1.055341309	-9999	0	-9999		
17	03	1970	0.025	1.055341309	-9999	0	-9999		
18	03	1970	0.006	1.055341309	-9999	0	-9999		
19	03	1970	0.226	1.055341309	-9999	0	-9999		
20	03	1970	0.083	1.055341309	-9999	0	-9999		
21	03	1970	3.507	1.055341309	-9999	0	-9999		
22	03	1970	0.139	1.055341309	-9999	0	-9999		
23	03	1970	0.305	1.055341309	-9999	0	-9999		
24	03	1970	0.003	1.055341309	-9999	0	-9999		
25	03	1970	0	1.055341309	-9999	0	-9999		
26	03	1970	1.951	1.055341309	-9999	0	-9999		
27	03	1970	0.212	1.055341309	-9999	0	-9999		
28	03	1970	1.278	1.055341309	-9999	0	-9999		
29	03	1970	2.125	1.055341309	-9999	0	-9999		
30	03	1970	0.641	1.055341309	-9999	0	-9999		
31	03	1970	3.159	1.055341309	-9999	0	-9999		
01	04	1970	0.146	1.90027189	-9999	0	-9999		
02	04	1970	5.768	1.90027189	-9999	0	-9999		
03	04	1970	1.552	1.90027189	-9999	0	-9999		
04	04	1970	1.477	1.90027189	-9999	0	-9999		
05	04	1970	13.888	1.90027189	-9999	0	-9999		
06	04	1970	0.589	1.90027189	-9999	0	-9999		
07	04	1970	2.03	1.90027189	-9999	0	-9999		
08	04	1970	1.88	1.90027189	-9999	0	-9999		
09	04	1970	0.931	1.90027189	-9999	0	-9999		
10	04	1970	0.244	1.90027189	-9999	0	-9999		
11	04	1970	0.002	1.90027189	-9999	0	-9999		
12	04	1970	32.117	1.90027189	-9999	0	-9999		
13	04	1970	0.053	1.90027189	-9999	0	-9999		
14	04	1970	3.431	1.90027189	-9999	0	-9999		
15	04	1970	2.234	1.90027189	-9999	0	-9999		
16	04	1970	0.402	1.90027189	-9999	0	-9999		
17	04	1970	0.043	1.90027189	-9999	0	-9999		
18	04	1970	0.328	1.90027189	-9999	0	-9999		
19	04	1970	0.415	1.90027189	-9999	0	-9999		
20	04	1970	0.624	1.90027189	-9999	0	-9999		
21	04	1970	0.115	1.90027189	-9999	0	-9999		
22	04	1970	0.037	1.90027189	-9999	0	-9999		
23	04	1970	0.578	1.90027189	-9999	0	-9999		
24	04	1970	2.665	1.90027189	-9999	0	-9999		
25	04	1970	3.549	1.90027189	-9999	0	-9999		
26	04	1970	0.554	1.90027189	-9999	0	-9999		
27	04	1970	0.156	1.90027189	-9999	0	-9999		
28	04	1970	7.126	1.90027189	-9999	0	-9999		
29	04	1970	0.054	1.90027189	-9999	0	-9999		
30	04	1970	0.103	1.90027189	-9999	0	-9999		
01	05	1970	2.124	3.123284248	-9999	0	-9999		
02	05	1970	0	3.123284248	-9999	0	-9999		
03	05	1970	0	3.123284248	-9999	0	-9999		
04	05	1970	0	3.123284248	-9999	0	-9999		
05	05	1970	0	3.123284248	-9999	0	-9999		
06	05	1970	0	3.123284248	-9999	0	-9999		
07	05	1970	0.085	3.123284248	-9999	0	-9999		
08	05	1970	0.017	3.123284248	-9999	0	-9999		
09	05	1970	0.951	3.123284248	-9999	0	-9999		
10	05	1970	0.083	3.123284248	-9999	0	-9999		
11	05	1970	0	3.123284248	-9999	0	-9999		
12	05	1970	0	3.123284248	-9999	0	-9999		
13	05	1970	0	3.123284248	-9999	0	-9999		
14	05	1970	0	3.123284248	-9999	0	-9999		
15	05	1970	0	3.123284248	-9999	0	-9999		
16	05	1970	0.429	3.123284248	-9999	0	-9999		
17	05	1970	0	3.123284248	-9999	0	-9999		
18	05	1970	0.001	3.123284248	-9999	0	-9999		
19	05	1970	1.1	3.123284248	-9999	0	-9999		
20	05	1970	0.01	3.123284248	-9999	0	-9999		
21	05	1970	0.049	3.123284248	-9999	0	-9999		
22	05	1970	0.001	3.123284248	-9999	0	-9999		
23	05	1970	0	3.123284248	-9999	0	-9999		
24	05	1970	0	3.123284248	-9999	0	-9999		
25	05	1970	0.036	3.123284248	-9999	0	-9999		
26	05	1970	0.018	3.123284248	-9999	0	-9999		
27	05	1970	0	3.123284248	-9999	0	-9999		
28	05	1970	0.243	3.123284248	-9999	0	-9999		
29	05	1970	0.001	3.123284248	-9999	0	-9999		
30	05	1970	0	3.123284248	-9999	0	-9999		
31	05	1970	0.002	3.123284248	-9999	0	-9999		
01	06	1970	0.018	3.560544043	-9999	0	-9999		
02	06	1970	0	3.560544043	-9999	0	-9999		
03	06	1970	0	3.560544043	-9999	0	-9999		
04	06	1970	0	3.560544043	-9999	0	-9999		
05	06	1970	0	3.560544043	-9999	0	-9999		
06	06	1970	0	3.560544043	-9999	0	-9999		
07	06	1970	0.001	3.560544043	-9999	0	-9999		
08	06	1970	0.001	3.560544043	-9999	0	-9999		
09	06	1970	0	3.560544043	-9999	0	-9999		
10	06	1970	0	3.560544043	-9999	0	-9999		
11	06	1970	0	3.560544043	-9999	0	-9999		
12	06	1970	0	3.560544043	-9999	0	-9999		
13	06	1970	0	3.560544043	-9999	0	-9999		
14	06	1970	0	3.560544043	-9999	0	-9999		
15	06	1970	0	3.560544043	-9999	0	-9999		
16	06	1970	0	3.560544043	-9999	0	-9999		
17	06	1970	0	3.560544043	-9999	0	-9999		
18	06	1970	0	3.560544043	-9999	0	-9999		
19	06	1970	0	3.560544043	-9999	0	-9999		
20	06	1970	0	3.560544043	-9999	0	-9999		
21	06	1970	0	3.560544043	-9999	0	-9999		
22	06	1970	4.126	3.560544043	-9999	0	-9999		
23	06	1970	0.558	3.560544043	-9999	0	-9999		
24	06	1970	0.042	3.560544043	-9999	0	-9999		
25	06	1970	0	3.560544043	-9999	0	-9999		
26	06	1970	0.001	3.560544043	-9999	0	-9999		
27	06	1970	8.298	3.560544043	-9999	0	-9999		
28	06	1970	2.435	3.560544043	-9999	0	-9999		
29	06	1970	1.075	3.560544043	-9999	0	-9999		
30	06	1970	3.957	3.560544043	-9999	0	-9999		
01	07	1970	0.035	3.313968971	-9999	0	-9999		
02	07	1970	0.565	3.313968971	-9999	0	-9999		
03	07	1970	0.001	3.313968971	-9999	0	-9999		
04	07	1970	0.001	3.313968971	-9999	0	-9999		
05	07	1970	0	3.313968971	-9999	0	-9999		
06	07	1970	0.07	3.313968971	-9999	0	-9999		
07	07	1970	1.785	3.313968971	-9999	0	-9999		
08	07	1970	4.566	3.313968971	-9999	0	-9999		
09	07	1970	0	3.313968971	-9999	0	-9999		
10	07	1970	0.001	3.313968971	-9999	0	-9999		
11	07	1970	0	3.313968971	-9999	0	-9999		
12	07	1970	0	3.313968971	-9999	0	-9999		
13	07	1970	3.113	3.313968971	-9999	0	-9999		
14	07	1970	4.966	3.313968971	-9999	0	-9999		
15	07	1970	0.034	3.313968971	-9999	0	-9999		
16	07	1970	0	3.313968971	-9999	0	-9999		
