NUMBER OF OBSERVATIONS								
19571								
DAY	MONTH	YEAR	RAIN	PET	GWL	ABS		
01	01	1967	0.007	0.417533789	5	0	-9999	
02	01	1967	0	0.417533789	-9999	0	-9999	
03	01	1967	0	0.417533789	-9999	0	-9999	
04	01	1967	0.03	0.417533789	-9999	0	-9999	
05	01	1967	0.057	0.417533789	-9999	0	-9999	
06	01	1967	0.754	0.417533789	-9999	0	-9999	
07	01	1967	0.031	0.417533789	-9999	0	-9999	
08	01	1967	0.072	0.417533789	-9999	0	-9999	
09	01	1967	0.013	0.417533789	-9999	0	-9999	
10	01	1967	0.021	0.417533789	-9999	0	-9999	
11	01	1967	0.001	0.417533789	-9999	0	-9999	
12	01	1967	0.011	0.417533789	-9999	0	-9999	
13	01	1967	0.001	0.417533789	-9999	0	-9999	
14	01	1967	0.137	0.417533789	-9999	0	-9999	
15	01	1967	0.024	0.417533789	-9999	0	-9999	
16	01	1967	0.001	0.417533789	-9999	0	-9999	
17	01	1967	0.021	0.417533789	-9999	0	-9999	
18	01	1967	1.348	0.417533789	-9999	0	-9999	
19	01	1967	0.004	0.417533789	-9999	0	-9999	
20	01	1967	1.537	0.417533789	-9999	0	-9999	
21	01	1967	0.182	0.417533789	-9999	0	-9999	
22	01	1967	8.528	0.417533789	-9999	0	-9999	
23	01	1967	0.785	0.417533789	-9999	0	-9999	
24	01	1967	0.947	0.417533789	-9999	0	-9999	
25	01	1967	2.011	0.417533789	-9999	0	-9999	
26	01	1967	0.704	0.417533789	-9999	0	-9999	
27	01	1967	0.791	0.417533789	-9999	0	-9999	
28	01	1967	1.858	0.417533789	-9999	0	-9999	
29	01	1967	0.242	0.417533789	-9999	0	-9999	
30	01	1967	1.95	0.417533789	-9999	0	-9999	
31	01	1967	1.756	0.417533789	-9999	0	-9999	
01	02	1967	1.334	0.739725217	-9999	0	-9999	
02	02	1967	0.025	0.739725217	-9999	0	-9999	
03	02	1967	0	0.739725217	-9999	0	-9999	
04	02	1967	0	0.739725217	-9999	0	-9999	
05	02	1967	0.002	0.739725217	-9999	0	-9999	
06	02	1967	0.002	0.739725217	-9999	0	-9999	
07	02	1967	0.003	0.739725217	-9999	0	-9999	
08	02	1967	0	0.739725217	-9999	0	-9999	
09	02	1967	0.002	0.739725217	-9999	0	-9999	
10	02	1967	0.002	0.739725217	-9999	0	-9999	
11	02	1967	0	0.739725217	-9999	0	-9999	
12	02	1967	0.002	0.739725217	-9999	0	-9999	
13	02	1967	0.001	0.739725217	-9999	0	-9999	
14	02	1967	0	0.739725217	-9999	0	-9999	
15	02	1967	2.436	0.739725217	-9999	0	-9999	
16	02	1967	1.744	0.739725217	-9999	0	-9999	
17	02	1967	6.772	0.739725217	-9999	0	-9999	
18	02	1967	3.713	0.739725217	-9999	0	-9999	
19	02	1967	3.305	0.739725217	-9999	0	-9999	
20	02	1967	3.981	0.739725217	-9999	0	-9999	
21	02	1967	0.431	0.739725217	-9999	0	-9999	
22	02	1967	4.144	0.739725217	-9999	0	-9999	
23	02	1967	0.276	0.739725217	-9999	0	-9999	
24	02	1967	1.066	0.739725217	-9999	0	-9999	
25	02	1967	1.513	0.739725217	-9999	0	-9999	
26	02	1967	0.107	0.739725217	-9999	0	-9999	
27	02	1967	13.363	0.739725217	-9999	0	-9999	
28	02	1967	0.482	0.739725217	-9999	0	-9999	
01	03	1967	0.177	1.824655535	-9999	0	-9999	
02	03	1967	0.21	1.824655535	-9999	0	-9999	
03	03	1967	0.206	1.824655535	-9999	0	-9999	
04	03	1967	1.463	1.824655535	-9999	0	-9999	
05	03	1967	0.084	1.824655535	-9999	0	-9999	
06	03	1967	0	1.824655535	-9999	0	-9999	
07	03	1967	0.994	1.824655535	-9999	0	-9999	
08	03	1967	10.004	1.824655535	-9999	0	-9999	
09	03	1967	3.552	1.824655535	-9999	0	-9999	
10	03	1967	0.076	1.824655535	-9999	0	-9999	
11	03	1967	0.013	1.824655535	-9999	0	-9999	
12	03	1967	0.132	1.824655535	-9999	0	-9999	
13	03	1967	0.003	1.824655535	-9999	0	-9999	
14	03	1967	0.047	1.824655535	-9999	0	-9999	
15	03	1967	0	1.824655535	-9999	0	-9999	
16	03	1967	0.001	1.824655535	-9999	0	-9999	
17	03	1967	0.005	1.824655535	-9999	0	-9999	
18	03	1967	0.001	1.824655535	-9999	0	-9999	
19	03	1967	0.001	1.824655535	-9999	0	-9999	
20	03	1967	0	1.824655535	-9999	0	-9999	
21	03	1967	0	1.824655535	-9999	0	-9999	
22	03	1967	0.251	1.824655535	-9999	0	-9999	
23	03	1967	0.262	1.824655535	-9999	0	-9999	
24	03	1967	0.213	1.824655535	-9999	0	-9999	
25	03	1967	5.68	1.824655535	-9999	0	-9999	
26	03	1967	0.179	1.824655535	-9999	0	-9999	
27	03	1967	0.27	1.824655535	-9999	0	-9999	
