NUMBER OF OBSERVATIONS								
19936								
DAY	MONTH	YEAR	RAIN	PET	GWL	ABS		
01	01	1966	1.585	0.381369445	26	0	-9999	
02	01	1966	1.877	0.381369445	-9999	0	-9999	
03	01	1966	0.008	0.381369445	-9999	0	-9999	
04	01	1966	0.368	0.381369445	-9999	0	-9999	
05	01	1966	0.014	0.381369445	-9999	0	-9999	
06	01	1966	0	0.381369445	-9999	0	-9999	
07	01	1966	0	0.381369445	-9999	0	-9999	
08	01	1966	0	0.381369445	-9999	0	-9999	
09	01	1966	0	0.381369445	-9999	0	-9999	
10	01	1966	0	0.381369445	-9999	0	-9999	
11	01	1966	0.003	0.381369445	-9999	0	-9999	
12	01	1966	0.401	0.381369445	-9999	0	-9999	
13	01	1966	0.083	0.381369445	-9999	0	-9999	
14	01	1966	0.541	0.381369445	-9999	0	-9999	
15	01	1966	1.643	0.381369445	-9999	0	-9999	
16	01	1966	3.661	0.381369445	-9999	0	-9999	
17	01	1966	0.074	0.381369445	-9999	0	-9999	
18	01	1966	0.013	0.381369445	-9999	0	-9999	
19	01	1966	0.025	0.381369445	-9999	0	-9999	
20	01	1966	3.344	0.381369445	-9999	0	-9999	
21	01	1966	0.099	0.381369445	-9999	0	-9999	
22	01	1966	0.86	0.381369445	-9999	0	-9999	
23	01	1966	0.783	0.381369445	-9999	0	-9999	
24	01	1966	0.254	0.381369445	-9999	0	-9999	
25	01	1966	0.383	0.381369445	-9999	0	-9999	
26	01	1966	1.719	0.381369445	-9999	0	-9999	
27	01	1966	3.734	0.381369445	-9999	0	-9999	
28	01	1966	1.506	0.381369445	-9999	0	-9999	
29	01	1966	1.766	0.381369445	-9999	0	-9999	
30	01	1966	2.072	0.381369445	-9999	0	-9999	
31	01	1966	0.341	0.381369445	-9999	0	-9999	
01	02	1966	0.024	0.618081514	-9999	0	-9999	
02	02	1966	0.058	0.618081514	-9999	0	-9999	
03	02	1966	0.438	0.618081514	-9999	0	-9999	
